taluk,district,latitude,longitude,year,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,scene_count,platform,data_source
Chadchan,Vijayapura,17.301377,75.723812,2020,0.3555,0.0787,0.3555,0.3555,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Chadchan,Vijayapura,17.301377,75.723812,2021,0.3749,0.0757,0.3749,0.3749,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Chadchan,Vijayapura,17.301377,75.723812,2022,0.4185,0.0949,0.4185,0.4185,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Chadchan,Vijayapura,17.301377,75.723812,2023,0.3128,0.0512,0.3128,0.3128,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Talikoti,Vijayapura,16.53746,76.303259,2019,0.6144,0.0867,0.6144,0.6144,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Talikoti,Vijayapura,16.53746,76.303259,2020,0.5035,0.064,0.5035,0.5035,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Talikoti,Vijayapura,16.53746,76.303259,2021,0.4778,0.0536,0.4778,0.4778,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Talikoti,Vijayapura,16.53746,76.303259,2022,0.5774,0.0961,0.5774,0.5774,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Talikoti,Vijayapura,16.53746,76.303259,2023,0.4715,0.0708,0.4715,0.4715,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Tikota,Vijayapura,16.875869,75.535413,2019,0.3571,0.0471,0.3571,0.3571,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Tikota,Vijayapura,16.875869,75.535413,2020,0.3155,0.0377,0.3155,0.3155,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Tikota,Vijayapura,16.875869,75.535413,2021,0.3776,0.0731,0.3776,0.3776,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Tikota,Vijayapura,16.875869,75.535413,2022,0.3281,0.0659,0.3281,0.3281,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Tikota,Vijayapura,16.875869,75.535413,2023,0.3066,0.0927,0.3066,0.3066,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kolhar,Vijayapura,16.507133,75.74957,2019,0.3505,0.1076,0.3505,0.3505,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Kolhar,Vijayapura,16.507133,75.74957,2020,0.2633,0.0838,0.2633,0.2633,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Kolhar,Vijayapura,16.507133,75.74957,2021,0.3812,0.0898,0.3812,0.3812,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kolhar,Vijayapura,16.507133,75.74957,2022,0.38,0.1288,0.38,0.38,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Kolhar,Vijayapura,16.507133,75.74957,2023,0.3946,0.1537,0.3946,0.3946,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Devara Hipparagi,Vijayapura,16.768781,76.151021,2019,0.3715,0.0956,0.3715,0.3715,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Devara Hipparagi,Vijayapura,16.768781,76.151021,2020,0.2929,0.1005,0.2929,0.2929,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Devara Hipparagi,Vijayapura,16.768781,76.151021,2021,0.344,0.1571,0.344,0.344,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Devara Hipparagi,Vijayapura,16.768781,76.151021,2022,0.3117,0.2023,0.3117,0.3117,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Devara Hipparagi,Vijayapura,16.768781,76.151021,2023,0.3002,0.1721,0.3002,0.3002,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Aland,Kalaburgi,17.532996,76.569873,2019,0.4545,0.084,0.4545,0.4545,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Aland,Kalaburgi,17.532996,76.569873,2020,0.3519,0.0777,0.3519,0.3519,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Aland,Kalaburgi,17.532996,76.569873,2021,0.3792,0.0942,0.3792,0.3792,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Aland,Kalaburgi,17.532996,76.569873,2022,0.3952,0.1068,0.3952,0.3952,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Aland,Kalaburgi,17.532996,76.569873,2023,0.4067,0.0991,0.4067,0.4067,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Afzalpur,Kalaburgi,17.248516,76.403097,2019,0.5469,0.067,0.5469,0.5469,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Afzalpur,Kalaburgi,17.248516,76.403097,2020,0.4737,0.0902,0.4737,0.4737,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Afzalpur,Kalaburgi,17.248516,76.403097,2021,0.486,0.0919,0.486,0.486,1,landsat-9,Landsat C2 L2 (Planetary Computer)
