point_id,taluk,latitude,longitude,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,api_source
SAL_002,Saligrama,12.479681841371248,76.26634155662252,31.7,43.1,25.2,6.9,1.94,252.0,136.0,ISRIC SoilGrids v2.0
SAL_003,Saligrama,12.522318691998562,76.2613488967194,33.7,41.3,25.0,7.0,1.87,241.0,135.0,ISRIC SoilGrids v2.0
SAL_004,Saligrama,12.56159640918862,76.19754905633701,33.4,40.5,26.1,6.9,1.99,208.0,140.0,ISRIC SoilGrids v2.0
SAL_005,Saligrama,12.514681867756572,76.27830102697408,31.7,40.6,27.7,6.9,1.98,267.0,135.0,ISRIC SoilGrids v2.0
SAL_006,Saligrama,12.505871364503165,76.24781724764965,31.6,42.9,25.5,7.0,2.0,206.0,138.0,ISRIC SoilGrids v2.0
SAL_007,Saligrama,12.509698179329805,76.22263095749078,34.5,41.6,24.0,7.0,2.03,237.0,139.0,ISRIC SoilGrids v2.0
SAL_008,Saligrama,12.572609092599839,76.3326737171665,34.2,41.3,24.4,7.0,2.15,251.0,139.0,ISRIC SoilGrids v2.0
SAL_009,Saligrama,12.498071539600055,76.27982300452646,32.9,42.2,24.9,7.0,1.8,249.0,136.0,ISRIC SoilGrids v2.0
MYS_000,Mysuru,12.291719677767693,76.78543027923203,30.1,43.4,26.4,6.8,1.85,237.0,132.0,ISRIC SoilGrids v2.0
MYS_001,Mysuru,12.286541675451213,76.59962295805394,33.7,37.4,28.9,6.9,1.91,201.0,137.0,ISRIC SoilGrids v2.0
MYS_002,Mysuru,12.26978486242568,76.78572702400716,32.7,41.7,25.6,6.7,1.59,219.0,136.0,ISRIC SoilGrids v2.0
MYS_003,Mysuru,12.167274339001235,76.57788518302112,34.1,38.4,27.4,6.9,2.04,206.0,137.0,ISRIC SoilGrids v2.0
MYS_004,Mysuru,12.286261050494616,76.61582891359876,,,,,,,,ISRIC SoilGrids v2.0
MYS_005,Mysuru,12.346850549210233,76.60174486728283,31.5,42.4,26.1,6.9,1.82,206.0,135.0,ISRIC SoilGrids v2.0
MYS_006,Mysuru,12.389655874817585,76.67866767926229,34.2,34.6,31.2,6.5,2.23,242.0,135.0,ISRIC SoilGrids v2.0
MYS_007,Mysuru,12.310571512277713,76.57547923953025,32.7,38.5,28.8,6.8,1.78,188.0,137.0,ISRIC SoilGrids v2.0
MYS_008,Mysuru,12.403891250795564,76.47156609070407,,,,,,,,ISRIC SoilGrids v2.0
MYS_009,Mysuru,12.343558571334592,76.52672288767512,33.6,38.2,28.2,6.9,1.99,199.0,136.0,ISRIC SoilGrids v2.0
HEG_000,Heggadadevanakote,11.960491197186208,76.28706125284805,,,,,,,,ISRIC SoilGrids v2.0
HEG_001,Heggadadevanakote,12.28814602766748,76.46826966613382,31.8,41.0,27.2,6.9,2.12,235.0,133.0,ISRIC SoilGrids v2.0
HEG_002,Heggadadevanakote,11.855567806398335,76.11852273791051,28.7,42.7,28.5,5.7,2.59,256.0,123.0,ISRIC SoilGrids v2.0
HEG_003,Heggadadevanakote,11.917493882155648,76.23133540615963,,,,,,,,ISRIC SoilGrids v2.0
HEG_004,Heggadadevanakote,12.048154679153486,76.26747070373138,30.6,40.8,28.6,6.0,1.72,191.0,129.0,ISRIC SoilGrids v2.0
HEG_005,Heggadadevanakote,12.157352746074439,76.34948583561128,32.0,37.5,30.5,6.7,1.69,216.0,135.0,ISRIC SoilGrids v2.0
HEG_006,Heggadadevanakote,12.100534597916448,76.26122745841896,32.7,42.6,24.8,6.2,1.78,180.0,132.0,ISRIC SoilGrids v2.0
HEG_007,Heggadadevanakote,12.068644394944446,76.36023419807462,33.4,39.9,26.7,6.2,1.77,187.0,134.0,ISRIC SoilGrids v2.0
HEG_008,Heggadadevanakote,12.04540456523425,76.2052826118211,28.8,44.3,27.0,5.8,2.16,252.0,124.0,ISRIC SoilGrids v2.0
HEG_009,Heggadadevanakote,11.99320062934399,76.28261875639986,,,,,,,,ISRIC SoilGrids v2.0
NAN_000,Nanjangud,11.881172993727475,76.52941203583464,28.8,44.0,27.2,6.3,2.08,268.0,127.0,ISRIC SoilGrids v2.0
NAN_001,Nanjangud,11.875746784984964,76.51671733033882,31.7,41.5,26.8,6.3,2.1,234.0,127.0,ISRIC SoilGrids v2.0
NAN_002,Nanjangud,12.011008610143596,76.91151842392573,28.2,43.1,28.8,7.1,1.78,205.0,135.0,ISRIC SoilGrids v2.0
NAN_003,Nanjangud,12.031892033756737,76.76770714180371,32.7,39.1,28.1,7.0,1.7,176.0,137.0,ISRIC SoilGrids v2.0
NAN_004,Nanjangud,12.026195468748732,76.75179983314302,31.6,40.9,27.5,7.0,1.62,183.0,136.0,ISRIC SoilGrids v2.0
NAN_005,Nanjangud,12.047964213989058,76.52776918292089,36.7,36.5,26.8,6.8,1.95,183.0,136.0,ISRIC SoilGrids v2.0
NAN_006,Nanjangud,12.160995219531017,76.70009307902765,35.7,35.2,29.1,7.1,1.98,203.0,139.0,ISRIC SoilGrids v2.0
NAN_007,Nanjangud,12.106175329458381,76.80499056277932,31.6,40.4,27.9,7.0,1.9,204.0,136.0,ISRIC SoilGrids v2.0
